I	yo
You	tú
He / She	él / ella
We	nosotros
You all	ustedes
They	ellos
What?	¿qué?
How?	¿cómo?
Who?	¿quién?
When?	¿cuándo?
Where?	¿dónde?
Why?	¿por qué?
Because	porque
To be	ser, estar
To have	tener
To go	ir
To do / to make	hacer
To want	querer
Can / to be able to	poder
To like	gustar
To need	necesitar
To know	saber
To speak	hablar
To listen	escuchar
To watch / to look at	mirar, ver
To read	leer
To write	escribir
To study	estudiar
To work	trabajar
To eat	comer
To drink	beber
To participate	participar
To live	vivir
To play	jugar
To practice	practicar
To use	usar
To visit	visitar
To spend / to pass	pasar
To run	correr
To walk	caminar
To learn	aprender
To buy	comprar
To finish	terminar
To wait	esperar
To sleep	dormir
To ask	preguntar
To think	pensar
To start	empezar, comenzar
To understand	entender, comprender
To win	ganar
To wake up	despertarse
To get up	levantarse
To go to bed	acostarse
To fall asleep / to go to sleep	dormirse
To shower	ducharse
To bathe / to take a bath	bañarse
To wash one's face	lavarse la cara
To wash one's hands	lavarse las manos
To brush one's teeth	cepillarse los dientes
To brush one's hair	cepillarse el pelo
To comb one's hair	peinarse
To get dressed	vestirse
To put on	ponerse
To take off	quitarse
To get ready	prepararse
To shave	afeitarse
To put on makeup	maquillarse
To feel	sentirse
To stay / to remain	quedarse
To remember	acordarse
To have breakfast	desayunar
To have lunch	almorzar
To have dinner	cenar
To arrive	llegar
To leave / to go out	salir
To return / to come back	volver
To do homework	hacer la tarea
To rest	descansar
To clean	limpiar
To prepare	preparar
First	primero
Before	antes
After / afterwards	después, luego, más tarde
Later	Más tarde/luego/después
Finally	por último
Every day	todos los días, cada día
In the morning	por la mañana
In the afternoon / evening	por la tarde
At night	por la noche
Always	siempre
Sometimes	a veces
Never	nunca
Early	temprano
Late	tarde
Free time	el tiempo libre
Something / anything	algo
Someone / anyone	alguien
Nothing	nada
No one / nobody	nadie
Also / too	también
